timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1590923031712,761,order by id,200,OK,Thread Group 1-1,text,true,,376,242,1,1,http://100.26.246.130:3000/api/v1/order/27?token=rXp8oJiSeWTqLGG8gPhcBZlfXV_sZ-LxciVFAs8-oJ0q9oJNDlmf8YuQnu2XSXMv,761,0,0
1590923032474,775,all orders,200,OK,Thread Group 1-1,text,true,,1751,240,1,1,http://100.26.246.130:3000/api/v1/orders?token=rXp8oJiSeWTqLGG8gPhcBZlfXV_sZ-LxciVFAs8-oJ0q9oJNDlmf8YuQnu2XSXMv,772,0,0
1590923033252,822,get delivery info,200,OK,Thread Group 1-1,text,true,,354,242,1,1,http://3.235.42.54:3000/api/v1/delivery/27?token=rXp8oJiSeWTqLGG8gPhcBZlfXV_sZ-LxciVFAs8-oJ0q9oJNDlmf8YuQnu2XSXMv,822,0,0
1590923034075,784,cancel delivery,200,OK,Thread Group 1-1,text,true,,301,275,1,1,http://3.235.42.54:3000/api/v1/delivery/27,784,0,0
1590923034859,760,get delivery info - after cancel,200,OK,Thread Group 1-1,text,true,,355,242,1,1,http://3.235.42.54:3000/api/v1/delivery/27?token=rXp8oJiSeWTqLGG8gPhcBZlfXV_sZ-LxciVFAs8-oJ0q9oJNDlmf8YuQnu2XSXMv,760,0,0
1590923035620,815,auth,200,OK,Thread Group 1-1,text,true,,1675,238,1,1,http://3.235.171.243:3000/api/v1/auth,814,0,284
1590923036434,1,auth-0,200,OK,Thread Group 1-1,text,true,,1245,0,1,1,null,0,0,0
1590923036435,1245,new order,200,OK,Thread Group 1-1,text,true,,1701,323,1,1,http://100.26.246.130:3000/api/v1/order,1244,0,0
1590923037680,0,new order-0,200,OK,Thread Group 1-1,text,true,,1335,0,1,1,null,0,0,0
1590923037680,779,order by id,200,OK,Thread Group 1-1,text,true,,376,242,1,1,http://100.26.246.130:3000/api/v1/order/28?token=_9qJa2AtwUAQrYGoJjgjq8kMWpW1qvoiHtNarzmXXGti1eLBqFg7xZB8pYKA_4Zl,779,0,0
1590923038459,765,all orders,200,OK,Thread Group 1-1,text,true,,1805,240,1,1,http://100.26.246.130:3000/api/v1/orders?token=_9qJa2AtwUAQrYGoJjgjq8kMWpW1qvoiHtNarzmXXGti1eLBqFg7xZB8pYKA_4Zl,764,0,0
1590923039224,754,get delivery info,200,OK,Thread Group 1-1,text,true,,354,242,1,1,http://3.235.42.54:3000/api/v1/delivery/28?token=_9qJa2AtwUAQrYGoJjgjq8kMWpW1qvoiHtNarzmXXGti1eLBqFg7xZB8pYKA_4Zl,754,0,0
1590923039979,761,cancel delivery,200,OK,Thread Group 1-1,text,true,,301,275,1,1,http://3.235.42.54:3000/api/v1/delivery/28,761,0,0
1590923040743,795,get delivery info - after cancel,200,OK,Thread Group 1-1,text,true,,355,242,1,1,http://3.235.42.54:3000/api/v1/delivery/28?token=_9qJa2AtwUAQrYGoJjgjq8kMWpW1qvoiHtNarzmXXGti1eLBqFg7xZB8pYKA_4Zl,795,0,0
